level,seconds,time
wake,30,01:02:30.000
light,150,01:03:00.000
deep,630,01:05:30.000
wake,420,01:16:00.000
light,690,01:23:00.000
deep,1320,01:34:30.000
light,1410,01:56:30.000
rem,420,02:20:00.000
light,1620,02:27:00.000
deep,1620,02:54:00.000
light,1890,03:21:00.000
rem,330,03:52:30.000
light,210,03:58:00.000
wake,480,04:01:30.000
light,60,04:09:30.000
rem,1440,04:10:30.000
wake,330,04:34:30.000
light,420,04:40:00.000
deep,2190,04:47:00.000
light,1230,05:23:30.000
rem,780,05:44:00.000
light,330,05:57:00.000
rem,1350,06:02:30.000
light,1680,06:25:00.000
